epoch,train_loss,train_acc,val_loss,val_acc,train_acc_Body-WeightSquats,val_acc_Body-WeightSquats,train_acc_HandstandPushups,val_acc_HandstandPushups,train_acc_HandstandWalking,val_acc_HandstandWalking,train_acc_JumpingJack,val_acc_JumpingJack,train_acc_JumpRope,val_acc_JumpRope,train_acc_Lunges,val_acc_Lunges,train_acc_PullUps,val_acc_PullUps,train_acc_PushUps,val_acc_PushUps,train_acc_TrampolineJumping,val_acc_TrampolineJumping,train_acc_WallPushups,val_acc_WallPushups
11,0.6882381293993847,76.54,2.0848603589754355,29.083333333333332,74.0,8.333333333333334,77.6,15.0,84.2,56.666666666666664,76.0,16.666666666666668,74.0,15.833333333333334,70.2,43.333333333333336,84.6,2.5,74.0,45.833333333333336,74.2,53.333333333333336,76.6,33.333333333333336
12,0.6969692834243653,76.28,2.091549656893078,28.583333333333332,72.8,8.333333333333334,78.0,3.3333333333333335,78.6,59.166666666666664,76.2,16.666666666666668,77.8,16.666666666666668,73.8,43.333333333333336,79.6,2.5,75.6,60.0,75.0,55.0,75.4,20.833333333333332
13,0.7001848124015103,76.34,2.0964058559191856,27.416666666666668,72.6,8.333333333333334,80.6,0.0,77.4,54.166666666666664,75.0,16.666666666666668,78.8,16.666666666666668,72.8,44.166666666666664,80.8,0.0,74.2,58.333333333333336,73.2,55.833333333333336,78.0,20.0
14,0.7079892350230247,75.82,2.1123376561230733,27.75,70.6,8.333333333333334,80.8,5.0,81.6,69.16666666666667,73.6,17.5,72.8,15.833333333333334,75.6,45.0,78.8,5.833333333333333,73.6,41.666666666666664,75.2,45.0,75.6,24.166666666666668
15,0.6887062138812557,76.32,2.0861338084857715,29.416666666666668,71.8,8.333333333333334,82.8,0.8333333333333334,79.4,59.166666666666664,77.4,16.666666666666668,72.8,16.666666666666668,72.4,44.166666666666664,79.0,3.3333333333333335,74.2,46.666666666666664,74.6,51.666666666666664,78.8,46.666666666666664
16,0.6737971804134405,76.9,2.0888136744891344,29.666666666666668,72.0,8.333333333333334,78.8,11.666666666666666,83.8,64.16666666666667,74.8,16.666666666666668,76.0,16.666666666666668,76.0,45.0,78.8,1.6666666666666667,75.6,49.166666666666664,73.4,47.5,79.8,35.833333333333336
17,0.7245315311440996,75.48,2.14743793638129,26.25,74.4,8.333333333333334,78.4,7.5,79.0,72.5,71.4,16.666666666666668,73.8,15.0,74.4,47.5,81.6,5.0,73.8,44.166666666666664,70.0,36.666666666666664,78.0,9.166666666666666
18,0.6790979049008363,77.18,2.1197523107065965,28.666666666666668,71.6,8.333333333333334,84.2,4.166666666666667,78.2,56.666666666666664,75.2,16.666666666666668,78.4,16.666666666666668,73.4,44.166666666666664,79.4,2.5,75.2,43.333333333333336,77.2,48.333333333333336,79.0,45.833333333333336
19,0.6985835565882883,76.52,2.0630904294942556,31.416666666666668,73.8,8.333333333333334,79.6,17.5,82.4,59.166666666666664,72.8,16.666666666666668,70.6,14.166666666666666,75.2,45.0,83.8,4.166666666666667,74.0,48.333333333333336,77.4,52.5,75.6,48.333333333333336
20,0.6837911789014841,76.92,2.1389597213189853,26.416666666666668,71.2,8.333333333333334,81.4,5.0,81.8,55.0,77.6,17.5,77.8,16.666666666666668,75.0,45.0,76.6,0.0,71.0,49.166666666666664,77.6,48.333333333333336,79.2,19.166666666666668
